Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('11th Street', 'Avenue E')",-122.3729083,37.8261268,4,4,1,1,0,0,1,1,0,4,0,4,no,None,182.3474625,91.33480398,0.02035519,0.000161996,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Street', 'Avenue H')",-122.3710683,37.8269056,4,4,1,1,0,0,1,1,0,4,0,4,no,None,182.2048817,90.21358335,0.00035771,1.62E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Street', 'Avenue B')",-122.3762063,37.8254461,3,3,1,1,0,0,1,1,0,3,0,3,no,None,180.2224193,91.37619675,0.036882817,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Street', 'Striped Bass Street')",-122.3758152,37.8256131,3,3,1,1,0,0,1,1,0,3,0,3,no,None,78.42608122,97.22096257,0.470310772,0.000323122,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('14th Avenue', 'Radio Terrace')",-122.4708872,37.7508889,3,3,1,1,0,0,1,1,0,3,0,3,no,None,21.99476817,124.7046867,1.233470489,0.284061972,60.64903912,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,1,2,0,2,1,0
"('14th Avenue', 'Wedemeyer Street', 'Wyman Avenue')",-122.4733682,37.7875044,3,3,2,1,0,0,1,1,0,3,0,3,no,None,71.75617042,72.96720568,0.770498987,0,-1,-1,no,0,0,yes,"{'residential': 3, 'cycleway': 3}","{'residential': 3, 'cycleway': 3}",25,25,25,25,1,2,0,0,3,0
"('15th Avenue', 'Lake Street')",-122.474395,37.7862411,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.4777046,90.02595515,0.000894725,7.75E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('15th Avenue', 'North 15th Avenue')",-122.4744934,37.78731762,2,2,1,1,0,0,1,1,0,2,0,2,no,None,115.8677426,4.808618052,0.316530156,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,2,1,0,0,3,0
"('15th Avenue', 'Portola Drive')",-122.46995,37.736185,3,3,2,1,2,2,2,1,0,3,0,3,no,None,173.9356504,91.29583719,0.291562251,0,-1,69.47614802,no,0,0,yes,"{'residential': 1, 'primary': 1, 'cycleway': 3, 'track': 2}","{'residential': 1, 'primary': 1, 'cycleway': 3, 'track': 2}",35,25,35,25,2,1,0,2,1,0
"('15th Avenue', 'Sheldon Terrace')",-122.4720733,37.7551851,3,3,1,1,0,0,1,1,0,3,0,3,no,None,28.36563165,147.0068072,0.886591451,0.343927416,75.85230697,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('15th Avenue', 'West Portal Avenue')",-122.4705815,37.73659715,4,4,1,1,2,2,1,1,0,4,0,4,no,no,34.1230754,122.3128122,0.538299951,0.013534351,71.99748622,0.550575545,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 3}",25,25,25,25,2,2,0,2,2,0
"('15th Street', 'De Haro Street')",-122.401843,37.767431,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6985246,90.10675216,0.002779502,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('15th Street', 'Henry Adams Street', 'Kansas Street')",-122.403785,37.7673142,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6810714,90.39765759,0.006836585,0.000250137,-1,-1,no,0,0,yes,"{'residential': 3, 'cycleway': 5}","{'residential': 3, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('15th Street', 'Rhode Island Street')",-122.402807,37.767373,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.60146667,91.69028933,0.000254598,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('15th Street', 'San Bruno Avenue')",-122.4057234,37.7672005,5,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6499473,158.5755343,0.459785084,0,-1,-1,no,0,0,yes,"{'motorway_link': 1, 'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,1,3,1,1,3,0
"('15th Street', 'Utah Street')",-122.4066978,37.7671441,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7439499,90.36966885,0.002229609,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('15th Street', 'Vermont Street')",-122.4047579,37.7672565,5,4,1,1,0,0,1,1,0,4,0,4,no,None,128.7743253,168.5950885,0.437090453,0,-1,-1,no,0,0,yes,"{'motorway_link': 1, 'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,1,0,4,0
"('16th Street', 'Wisconsin Street')",-122.3997903,37.7662543,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.40857209,105.8095163,1.023145257,0,49.98802555,-1,no,0,0,yes,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('17th Street', 'Capp Street')",-122.4185035,37.7634988,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.371879,94.01160219,0.420818324,0.000297053,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('17th Street', 'Kansas Street')",-122.403527,37.764723,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.48378616,90.59278925,5.01E-05,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('17th Street', 'Rhode Island Street')",-122.4025818,37.7647852,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.61515309,91.32763811,0,0,-1,-1,no,0,0,yes,"{'unclassified': 1, 'residential': 2, 'cycleway': 4}","{'unclassified': 1, 'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('17th Street', 'Shotwell Street')",-122.4162492,37.763634,4,4,2,1,0,0,2,1,0,4,0,4,no,no,161.1274615,90.80190886,0.116622717,5.90E-05,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('17th Street', 'Vermont Street')",-122.4045092,37.7646654,3,3,1,1,0,0,3,1,0,3,0,3,no,None,149.1257562,91.00637266,0.175690266,0,-1,-1,no,0,0,yes,"{'secondary': 1, 'residential': 1, 'cycleway': 3}","{'secondary': 1, 'residential': 1, 'cycleway': 3}",25,25,25,25,0,2,1,0,2,1
"('18th Street', 'Douglass Street')",-122.4393371,37.7606285,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7962423,90.3680261,0.001811743,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('18th Street', 'Ord Street')",-122.4400112,37.7605876,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.709243,90.43419251,0.00167458,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,0
"('19th Street', 'Church Street')",-122.4282483,37.7596955,3,3,1,1,0,0,1,1,0,3,0,3,no,None,16.4166712,90.10386746,0,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('21st Avenue', 'Lincoln Way')",-122.4794194,37.76535875,3,4,3,1,0,0,2,1,0,3,0,4,no,None,161.2835219,91.15528348,0.069100181,0,-1,-1,no,0,0,yes,"{'residential': 1, 'primary': 1, 'cycleway': 3}","{'residential': 1, 'primary': 1, 'cycleway': 6}",35,25,35,25,2,1,0,2,2,0
"('21st Street', 'Chattanooga Street')",-122.4268094,37.7565629,3,3,1,1,3,4,1,1,0,3,0,3,no,None,16.45642935,90.21663285,0.023332053,0,-1,4.105156569,no,2,0,yes,"{'residential': 2, 'cycleway': 3, 'track': 3}","{'residential': 2, 'cycleway': 3, 'track': 4}",25,25,25,25,0,3,0,0,3,0
"('21st Street', 'Dolores Street')",-122.4256301,37.756634,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.1432181,90.02340464,0.000956242,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('22nd Street', 'Chattanooga Street')",-122.4266434,37.7549609,4,4,1,1,1,1,1,1,0,4,0,4,no,None,17.54565884,90.98481913,0.039186119,0.00436851,-1,78.99032297,no,0,0,yes,"{'residential': 2, 'cycleway': 4, 'track': 1}","{'residential': 2, 'cycleway': 4, 'track': 1}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Fair Oaks Street')",-122.4243032,37.7551023,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6972477,90.41965735,0.002276538,0.00014667,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Indiana Street')",-122.391174,37.757768,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7162874,90.09983082,0.00293798,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Minnesota Street')",-122.39021,37.757826,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7003459,90.22078264,0.001487493,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Mississippi Street')",-122.394107,37.757592,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7346827,120.3917852,0.573451956,3.72E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Bartlett Street')",-122.419705,37.75377,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.8479436,90.76248991,0.006946442,7.25E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,1,0,2,1
"('23rd Street', 'Capp Street')",-122.4175275,37.7539114,4,4,1,1,0,0,1,1,0,4,0,4,no,no,160.7360923,90.15851782,0.008842544,0.000676947,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Chattanooga Street')",-122.426478,37.75336,4,3,1,1,0,0,1,1,0,4,0,3,no,None,160.6548999,90.33019214,0.005098435,0.000104385,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,1,0,3,0
"('23rd Street', 'Fair Oaks Street')",-122.4241519,37.7535007,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7716281,90.29867212,0.009217738,0.000188126,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Kansas Street')",-122.4025654,37.7545227,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.46015057,90.48819812,0.002111594,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Rhode Island Street')",-122.4016029,37.7545813,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.51205736,90.91548128,8.28E-05,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Shotwell Street')",-122.4153446,37.7540368,4,4,1,1,0,0,1,1,0,4,0,4,no,no,160.6980458,90.37877148,0.012355105,0.005458085,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Avenue', 'Clement Street')",-122.4838186,37.7820706,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.4826335,90.02229899,0.00039558,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Bartlett Street')",-122.4195696,37.7521798,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.7748697,90.53992428,0.020448955,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,2,1,0,2,1
"('24th Street', 'Chattanooga Street')",-122.4263318,37.7517703,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6955744,90.1859647,0.000360304,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Church Street')",-122.4274487,37.7517033,4,4,1,1,4,2,1,1,0,4,0,4,no,no,160.7009493,90.03395575,0.005560977,0.00259447,-1,0.419862423,no,2,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5, 'track': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 5, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Diamond Street')",-122.4363005,37.7511686,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.44256848,90.32111191,0.020940719,2.66E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Douglass Street')",-122.4384917,37.7510346,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.4234032,90.09490519,0.000442475,0.000139529,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Fair Oaks Street')",-122.4239945,37.7519118,4,4,1,1,0,0,1,1,0,4,0,4,no,None,17.46087659,90.56864199,0.043680976,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Homestead Street')",-122.4395477,37.7509701,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.7142327,90.02118919,0.00015613,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('24th Street', 'Noe Street')",-122.431877,37.7514368,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7667843,90.33968876,0.004117633,0.000138866,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'San Jose Avenue')",-122.4215958,37.7520551,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7193654,97.22137183,0.070371105,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Sanchez Street')",-122.4296589,37.7515702,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.43981681,90.23268698,0.000300933,0.000159947,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Shotwell Street')",-122.4151887,37.7524404,4,4,1,1,0,0,1,1,0,4,0,4,no,no,160.6977247,90.11284281,0.005162918,0.000318919,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Treat Avenue')",-122.4130129,37.7525713,4,4,1,1,0,0,1,1,0,4,0,4,no,no,160.6997498,90.41268639,0.012463848,0.005415721,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Vicksburg Street')",-122.4285479,37.751637,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6975854,90.47069157,0.000614962,2.01E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('25th Avenue', 'El Camino del Mar')",-122.485295,37.7876159,4,4,1,1,0,0,1,1,0,4,0,4,no,None,85.28904655,90.17537248,0.072059611,0,-1,-1,no,0,0,yes,"{'secondary': 2, 'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'secondary': 2, 'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Bartlett Street')",-122.4194007,37.7505801,3,4,1,1,0,0,1,1,0,1,0,2,no,None,93.6168068,90.44027149,0.007749406,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 1}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,3,0,0,3,1
"('25th Street', 'Capp Street')",-122.4172209,37.7507122,4,4,1,1,0,0,1,1,0,2,0,2,no,no,160.7065789,90.05018222,0.004935089,0.000870566,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Castro Street')",-122.4339554,37.7496984,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7048275,90.04861796,6.53E-05,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 3}","{'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Church Street')",-122.427295,37.7501019,4,4,1,1,1,0,1,1,0,2,0,2,no,None,160.7034345,90.04190438,0.001412415,0.000169573,-1,80.17212435,no,2,0,yes,"{'residential': 2, 'cycleway': 3, 'track': 1}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Diamond Street')",-122.4361384,37.7495662,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.8792875,90.698009,0.006732908,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Dolores Street')",-122.4250153,37.75023995,4,4,2,1,0,0,2,1,0,2,0,2,no,None,162.1345059,90.03616051,0.000820357,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 3}","{'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,2,2,0,2,2,0
"('25th Street', 'Douglass Street')",-122.4383382,37.7494329,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7045058,90.04991615,0.000344597,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Fair Oaks Street')",-122.4238307,37.7503117,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7053784,90.06825003,0.00074999,4.98E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Folsom Street')",-122.4139499,37.7509102,4,4,1,1,0,0,1,1,0,2,0,2,no,no,160.7037126,90.06111235,0.005437282,0.000273872,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 3}","{'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Noe Street')",-122.4317174,37.749834,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7053464,90.04016547,0.000132147,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'San Jose Avenue')",-122.4214386,37.7504566,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7054036,90.07112073,0.000869774,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Sanchez Street')",-122.4295003,37.7499683,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7044299,90.07031272,0.000729645,0.000210626,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Shotwell Street')",-122.4150359,37.7508444,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7027895,90.05425554,0.00030906,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Treat Avenue')",-122.412862,37.7509762,4,4,1,1,0,0,1,1,0,2,0,2,no,None,160.7428255,90.10881522,0.005387408,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('25th Street', 'Vicksburg Street')",-122.4283894,37.7500356,3,3,1,1,0,0,1,1,0,1,0,1,no,None,160.7045891,90.01168835,0.00046597,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 1}","{'residential': 2, 'cycleway': 1}",25,25,25,25,0,3,0,0,3,0
"('26th Avenue', 'El Camino del Mar')",-122.4863643,37.7875675,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.4792452,90.01625518,4.95E-05,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('26th Avenue', 'Scenic Way')",-122.4864158,37.7882816,3,3,1,1,0,0,1,1,0,3,0,3,no,None,17.56277111,89.18608149,0.212207255,2.95E-05,78.71588192,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('26th Street', 'Church Street')",-122.4271405,37.7484942,4,4,1,1,1,0,1,1,0,4,0,4,no,None,160.6950315,90.03468006,0.000563857,7.14E-05,-1,80.1930201,no,2,0,yes,"{'residential': 2, 'cycleway': 6, 'track': 1}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('26th Street', 'Diamond Street')",-122.43599,37.747963,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7014677,90.0902194,0.000692055,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('26th Street', 'Dolores Street')",-122.4248608,37.7486318,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.129514,90.81739662,0.103000665,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('26th Street', 'Douglass Street')",-122.4381847,37.7478309,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.6935076,90.02146332,0.000171577,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('26th Street', 'Folsom Street')",-122.4137963,37.7493025,4,4,1,1,0,0,2,1,0,4,0,4,no,None,108.1562814,91.08607262,0.054018835,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('26th Street', 'Noe Street')",-122.431557,37.748229,4,4,1,1,0,0,1,1,0,4,0,4,no,None,17.476829,90.4150428,0.040652329,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
