Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('10th Avenue', 'Anza Street')",-122.4684431,37.7789094,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4816795,90.06284029,4.79E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Balboa Street')",-122.4683093,37.7770395,4,4,2,1,0,0,2,1,0,4,0,4,None,None,160.8191001,90.05171308,4.42E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Cabrillo Street')",-122.468176,37.775176,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4826439,90.06128822,5.91E-06,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Clement Street')",-122.4687184,37.782757,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.482105,90.33030715,0.001710445,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Irving Street')",-122.4674038,37.7640021,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4651251,90.03441794,1.24E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Judah Street')",-122.4672734,37.76213595,4,4,1,1,3,2,1,1,0,4,0,4,None,no,26.15433156,90.6805792,0.096107253,0.000107512,-1,0.709338298,no,2,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}",25,25,25,25,2,2,0,2,2,0
"('10th Avenue', 'Kirkham Street')",-122.467143,37.7602709,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4638245,90.04177647,9.16E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Lake Street')",-122.4689921,37.7864856,3,4,1,1,0,0,1,1,0,3,0,4,None,None,160.4794392,178.6280824,3.622636648,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,1
"('10th Avenue', 'Lawton Street')",-122.4670125,37.7584043,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4649799,90.03832793,3.46E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Lincoln Way')",-122.4675353,37.7658836,3,4,3,1,0,0,3,1,0,3,0,4,None,None,161.3695805,90.04609985,0.000310705,0,-1,-1,no,0,0,None,"{'primary': 1, 'residential': 1, 'cycleway': 5}","{'primary': 1, 'residential': 1, 'cycleway': 4}",35,25,35,25,2,1,0,2,2,0
"('10th Avenue', 'Mendosa Avenue')",-122.4662965,37.7481275,4,4,1,1,0,0,1,1,0,4,0,4,None,None,20.6212967,155.6824585,1.212849772,0,41.2237931,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,1,3,0,1,3,0
"('10th Avenue', 'Moraga Street')",-122.4668821,37.7565397,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4626297,90.02323427,1.98E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Noriega Street')",-122.4667518,37.7546757,4,4,1,1,0,0,1,1,0,4,0,4,None,None,16.41410641,90.08047592,0,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Ortega Street')",-122.4666213,37.7528092,4,4,1,1,0,0,1,1,0,4,0,4,None,None,16.40576071,90.00906908,0,0,-1,-1,no,0,0,None,"{'tertiary': 2, 'residential': 2, 'cycleway': 4}","{'tertiary': 2, 'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Pacheco Street')",-122.4664909,37.7509426,4,4,1,1,0,0,1,1,0,4,0,4,None,None,19.56023434,130.2980868,0.519367395,0,-1,-1,no,0,0,None,"{'tertiary': 2, 'residential': 1, 'cycleway': 4}","{'tertiary': 2, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Quintara Street')",-122.4663606,37.7490784,4,4,1,1,0,0,1,1,0,4,0,4,None,None,16.42881298,90.2043113,0,0,-1,-1,no,0,0,None,"{'tertiary': 2, 'residential': 2, 'cycleway': 4}","{'tertiary': 2, 'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
