Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('10th Avenue', 'California Street')",-122.468855,37.7846249,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,160.8726742,90.15806854,0.018937684,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('10th Avenue', 'Fulton Street')",-122.468049,37.7733056,3,3,2,1,0,0,2,1,0,3,0,3,yes,None,22.52301822,90.49154757,0.039512371,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 3}","{'secondary': 1, 'residential': 1, 'cycleway': 3}",35,25,35,25,0,3,0,0,3,0
"('10th Avenue', 'Geary Boulevard')",-122.4685808,37.78083395,4,4,3,1,0,0,4,1,0,4,0,4,yes,None,118.7295807,91.32607636,0.053040269,0,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 4}","{'primary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('10th Street', 'Division Street')",-122.4083342,37.7692104,6,6,3,1,0,0,2,1,0,1,0,2,yes,None,123.1878429,171.1203827,0.444827067,0,-1,-1,no,0,0,no,"{'motorway_link': 1, 'secondary': 1, 'primary': 1, 'cycleway': 2}","{'motorway_link': 1, 'secondary': 1, 'primary': 1, 'cycleway': 2}",25,25,25,25,4,1,1,3,1,2
"('10th Street', 'Folsom Street')",-122.4128343,37.7728201,2,2,4,3,0,0,4,3,0,2,0,1,yes,yes,213.6529998,90.27704756,0.008675914,3.31E-05,-1,-1,no,0,0,no,"{'primary': 2, 'cycleway': 2}","{'primary': 2, 'cycleway': 3}",30,25,30,25,0,0,2,0,0,2
"('10th Street', 'Harrison Street')",-122.4112871,37.7715867,3,2,5,1,0,0,5,2,0,3,0,2,yes,None,149.6601241,93.46624486,0.660891594,0,-1,-1,no,0,0,no,"{'primary': 2, 'tertiary': 1, 'cycleway': 4}","{'tertiary': 1, 'primary': 1, 'cycleway': 2}",30,25,30,25,0,1,2,0,1,1
"('10th Street', 'Howard Street')",-122.414368,37.774043,2,2,4,3,0,0,4,3,0,2,0,2,yes,None,23.48975074,90.09886728,0.003869275,0,51.47340288,-1,no,0,0,no,"{'primary': 2, 'cycleway': 2}","{'primary': 2, 'cycleway': 2}",30,25,30,25,0,0,2,0,0,2
"('10th Street', 'Jessie Street')",-122.4164871,37.77573185,2,3,1,1,0,0,4,1,0,2,0,3,yes,None,141.8888439,93.23420638,0.058199421,0,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 3}","{'primary': 1, 'residential': 1, 'cycleway': 3}",30,25,30,25,0,1,1,0,1,2
"('10th Street', 'Minna Street')",-122.4153843,37.7748526,1,2,4,1,0,0,4,1,0,1,0,2,yes,None,134.41884,89.87631246,0.030136467,0,-1,-1,no,0,0,no,"{'primary': 1, 'cycleway': 1}","{'primary': 1, 'residential': 1, 'cycleway': 3}",30,30,30,25,0,0,1,0,0,2
"('10th Street', 'Mission Street')",-122.4159234,37.7752776,3,3,2,1,0,0,4,2,0,3,0,3,yes,None,24.34266761,90.61769547,0.001983102,5.05E-05,51.31724599,-1,no,0,0,no,"{'primary': 1, 'secondary': 1, 'cycleway': 3}","{'primary': 1, 'secondary': 1, 'cycleway': 3}",30,25,30,25,0,2,1,0,2,1
"('10th Street', 'Natoma Street')",-122.4149212,37.7744848,2,1,4,1,0,0,4,4,0,2,0,1,yes,None,138.7975302,90.25553884,0.002105391,5.40E-05,-1,-1,no,0,0,no,"{'residential': 1, 'primary': 1, 'cycleway': 3}","{'primary': 1, 'cycleway': 1}",30,25,30,30,0,0,2,0,0,1
"('10th Street', 'Potrero Avenue')",-122.4079497,37.7687935,5,5,3,1,0,0,4,1,0,3,0,2,yes,None,162.481976,150.848818,0.689801466,0,-1,-1,no,0,0,no,"{'motorway_link': 1, 'primary': 2, 'cycleway': 3}","{'motorway_link': 1, 'primary': 1, 'cycleway': 2}",25,25,25,25,4,1,1,3,1,1
"('10th Street', 'Sheridan Street')",-122.411897,37.772073,2,1,4,1,0,0,4,4,0,2,0,1,yes,None,215.3664801,89.78061065,0.001922777,0.00032176,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 3}","{'primary': 1, 'cycleway': 1}",30,25,30,30,0,0,2,0,0,1
"('11th Avenue', 'Geary Boulevard')",-122.4696512,37.7807854,4,4,4,1,0,0,4,1,0,4,0,4,yes,None,160.4768373,91.08729887,0.067846457,0,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 5}","{'primary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,2,2,0,2,2,0
